,Names,Gender,Hair_Color,Tags,Anime,Manga
46785,Shiikyon,Female,Brown Hair,"['Adult', 'Closed Eyes', 'Nurse']",['Wasteful Days of High School Girls'],
46786,Gilmar ELISTAIN,Male,Brown Hair,"['Facial Hair', 'Royalty']",['Isekai Cheat Magician'],['Isekai Cheat Magician (Light Novel)']
46787,Mystery Moon,Female,Blue Hair,"['Blinding Bangs', 'Magic User', 'Witch']","['Release That Witch', 'Release that Witch (Novel)']",
46788,Luo Lansha,Female,Blonde Hair,['Mortals of the Doom'],,
46789,Kassan,Male,Brown Hair,"['LGBT+', 'Orphan', 'Prisoner', 'Scar', 'Slave', 'Uke']","[""To Take an Enemy's Heart""]",
46790,Doni,Male,Brown Hair,"['Hair Antenna', 'Hat', 'Ponytail']","[""I'm the Villainess, So I'm Taming the Final Boss""]","[""I'm the Villainess, So I'm Taming the Final Boss"", 'I’m the Villainess, So I’m Taming the Final Boss (Light Novel)']"
46791,Karl-Heinz LEOPOLD,Male,White Hair,"['Bodyguard', 'Facial Hair', 'Knight', 'LGBT+', 'Muscular', 'Person in a Strange World', 'Sword Fighter']",['Liebling!'],
46792,Chissan,White Hair,,"['Animal', 'Cat']","['Nichijou: My Ordinary Life', 'Nichijou: My Ordinary Life Specials']",
46793,Matsuri HIMEGI,Female,Blonde Hair,"['Crown', 'Hair Drills', 'Psychic Powers']",['A Certain Scientific Accelerator'],['A Certain Scientific Accelerator']
46794,Boy,Male,Black Hair,"['Gloves', 'Hair Antenna', 'Sword Fighter']",['The Hidden Dungeon Only I Can Enter'],"['The Hidden Dungeon Only I Can Enter', 'The Hidden Dungeon Only I Can Enter (Light Novel)']"
46795,Pocchi,Male,Brown Hair,"['Facial Hair', 'Mohawk', 'Scar']",['Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?'],
46796,Sofia,Female,,['Maid'],"['Prison Life is Easy for a Villainess', 'Prison Life is Easy for a Villainess (Light Novel)']",
46797,Asase,Female,Purple Hair,"['Adult', 'Teacher']","['The Demon Girl Next Door', 'The Demon Girl Next Door 2']",
46798,Tattletale,Male,Black Hair,"['Glasses', 'High School Student', 'Teenager']",['SQ: Begin W/Your Name!'],
46799,Archer,Male,Multicolored Hair,"['Cape', 'Elemental Powers', 'Gloves', 'Historical Figure', 'Immortal', 'Lightning Powers', 'Magical Familiar', 'Scientist']","['Fate/Grand Carnival', 'Fate/Grand Order: Absolute Demonic Front - Babylonia', 'Fate/Grand Order: Cosmos in the Lostbelt - Lostbelt No. 5.2 Event PV', 'Fate/Grand Order: Fourth Singularity - London Event PV']",['Fate/Grand Order: Turas Réalta']
46800,Meowzie,Cat,Pokemon,['Pokemon'],,
46801,May's Squirtle,Elemental Powers,Pokemon,"['Pokemon 4D: Pikachu`s Ocean Adventure', 'Pokemon Advanced', 'Pokemon: Diamond & Pearl', 'Pokemon Movie 8: Lucario and The Mystery of Mew', 'Pokemon Movie 9: Pokemon Ranger and the Temple of the Sea', ""Pokemon: Pikachu's Ghost Carnival"", ""Pokemon: Pikachu's Island Adventure"", 'Pokemon: The Mastermind of Mirage Pokemon']",,
46802,Alolan Meowth,Grey Hair,,"['Cat', 'Darkness Powers', 'Elemental Powers', 'Pokemon']",['Pokemon Sun & Moon'],
46803,Drowzee,Pokemon,Psychic Powers,"['Pokemon', 'Pokemon Advanced', 'Pokemon: Diamond & Pearl']",,
46804,Jynx,Female,Blonde Hair,"['Pokemon', 'Psychic Powers']","['Pokemon', 'Pokemon Advanced']",
46805,Pinsir,Horns,Insect,"['Pokemon Advanced', 'Pokemon Journeys']",,
46806,Beautifly,Insect,Pokemon,"['Pokemon Advanced', 'Pokemon Chronicles', 'Pokemon: Diamond & Pearl']",,
46807,Shedinja,Pokemon,Wings,['Pokemon Advanced'],,
46808,Altaria,Pokemon,Wings,"['Pokemon Sun & Moon', 'Pokemon XY&Z']",,
46809,Zangoose,Pokemon,Tail,"['Pokemon Advanced', 'Pokemon: Black & White: Adventures in Unova', 'Pokemon: Diamond & Pearl', 'Pokemon Mystery Dungeon: Explorers of Time and Darkness']",,
46810,Anne,Female,Brown Hair,['Cyborg'],['No Guns Life'],
46811,Talonflame,Bird,Elemental Powers,"['Pokemon XY', 'Pokemon XY&Z Specials']",,
46812,Aegislash,Ghost,Pokemon,"['Pokemon Movie 17: Diancie and the Cocoon of Destruction', 'Pokemon XY&Z']",,
46813,Kaoru TERAZAKI,Male,Brown Hair,['Video Gamer'],['Sometimes Even Reality Is a Lie!'],
46814,Croagunk,Poison User,Pokemon,"['Pokemon: Diamond & Pearl', 'Pokemon Journeys']",,
46815,Chu Yuan,Male,,['Royalty'],['Diwang Gonglue'],"['Diwang Gonglue', 'Diwang Gonglue (Novel)']"
